Date,Price,Open,High,Low,Vol.,Change %,range,timestamp,target,segment
2022-06-20,20572.3,20576.9,20996.8,19658.8,140600.0,-0.02,1338.0,2022-06-20,20572.3,main
2022-06-19,20577.2,18983.4,20763.5,17983.7,169390.0,8.38,2779.7999999999993,2022-06-19,20577.2,main
2022-06-18,18986.5,20446.4,20744.7,17630.5,267250.0,-7.13,3114.2000000000007,2022-06-18,18986.5,main
2022-06-17,20444.6,20391.3,21315.4,20244.1,136270.0,0.28,1071.300000000003,2022-06-17,20444.6,main
2022-06-16,20386.6,22577.9,22942.1,20231.1,144000.0,-9.71,2711.0,2022-06-16,20386.6,main
2022-06-15,22577.9,22137.5,22754.4,20125.8,280410.0,1.9,2628.600000000002,2022-06-15,22577.9,main
2022-06-14,22157.3,22449.1,23200.3,20860.9,251010.0,-1.29,2339.399999999998,2022-06-14,22157.3,main
2022-06-13,22448.0,26606.3,26857.6,22006.3,379260.0,-15.63,4851.299999999999,2022-06-13,22448.0,main
2022-06-12,26606.3,28404.0,28534.8,26606.3,120020.0,-6.33,1928.5,2022-06-12,26606.3,main
2022-06-11,28403.4,29083.3,29426.6,28161.8,82920.0,-2.34,1264.7999999999993,2022-06-11,28403.4,main
2022-06-10,29083.3,30097.4,30325.6,28884.9,104260.0,-3.37,1440.699999999997,2022-06-10,29083.3,main
2022-06-09,30097.8,30202.1,30691.4,29953.8,61720.0,-0.34,737.6000000000022,2022-06-09,30097.8,main
2022-06-08,30201.6,31127.2,31312.1,29874.8,87960.0,-2.98,1437.2999999999993,2022-06-08,30201.6,main
2022-06-07,31128.8,31370.3,31556.6,29235.0,140320.0,-0.76,2321.5999999999985,2022-06-07,31128.8,main
2022-06-06,31367.6,29911.2,31753.4,29888.6,94010.0,4.86,1864.800000000003,2022-06-06,31367.6,main
2022-06-05,29913.0,29865.1,30166.9,29539.0,30330.0,0.16,627.9000000000015,2022-06-05,29913.0,main
